Vehicle ,RAM,storage,Trustfactor,Distance,TransmissionRate,Eligible
1,59.4875,45.61875,12,25.8,77.77777778,44.13680556
2,77.6625,7.56875,58,14.8,48.14814815,41.23587963
3,50.0875,38.4375,18,14.9,55.55555556,35.39611111
4,32.925,42.66875,29,9.7,18.51851852,26.5624537
5,72.2625,48.36875,54,12.8,33.33333333,44.15291667
6,56.65,20.3375,69,32.7,59.25925926,47.58935185
7,59.6,69.10625,15,96.6,44.44444444,56.95013889
8,88.5125,42.78125,97,10,88.88888889,65.43652778
9,93.85,97.94375,54,68.7,96.2962963,82.15800926
10,42.5625,40.41875,91,17.7,92.59259259,56.85476852
11,75.15,12.11875,74,68.9,66.66666667,59.36708333
12,50.95,43.05625,90,17.2,18.51851852,43.9449537
13,27.2125,28.875,52,14,44.44444444,33.30638889
14,16.1125,82.19375,29,92.4,96.2962963,63.20050926
15,62.9625,14.3125,18,1.8,18.51851852,23.1187037
16,66.9125,99.09375,79,58.3,55.55555556,71.77236111
17,27.45,67.3375,28,26.3,51.85185185,40.18787037
18,21.2375,75.575,62,59.7,25.92592593,48.88768519
19,13.325,52.3875,61,81.4,81.48148148,57.9187963
20,73.325,30.725,97,70.6,59.25925926,66.18185185
21,83.325,97.53125,66,79.1,85.18518519,82.22828704
22,90.1375,95.26875,82,17,70.37037037,70.95532407
23,13.05,80.0625,93,17.1,66.66666667,53.97583333
24,82.9875,62.0875,56,24.2,37.03703704,52.46240741
25,47.7,86.5625,68,39.1,11.11111111,50.49472222
26,35.8625,86.13125,53,38.5,33.33333333,49.36541667
27,47.1625,87.025,81,14.2,77.77777778,61.43305556
28,49.925,18.60625,28,67.5,29.62962963,38.73217593
29,95.5875,81.43125,41,25.4,51.85185185,59.05412037
30,94,26.66875,42,91.6,74.07407407,65.66856481
31,26.425,83.39375,84,31.7,14.81481481,48.06671296
32,79.35,85.13125,100,37.2,88.88888889,78.11402778
33,69.85,83.025,76,92.9,33.33333333,71.02166667
34,80.3,13.53125,95,31.2,81.48148148,60.3025463
35,97.5,76.7875,28,58.4,55.55555556,63.24861111
36,92.8625,93.575,49,91,100,85.2875
37,79.6375,30.125,50,63,62.96296296,57.14509259
38,48.1625,52.9,44,74.7,55.55555556,55.06361111
39,97.2125,25.75,71,8.1,44.44444444,49.30138889
40,23.075,94.70625,59,21.3,48.14814815,49.24587963
41,18.175,99.275,41,30.3,81.48148148,54.0462963
42,57.3375,23.3875,84,56.6,33.33333333,50.93166667
