TaskID,Required_RAM,Required_Storage,Minimum_Trust_Factor,Max_Distance,Min_Transmission_Rate,Min_Eligibility
1,47.8375,82.90625,18,62.1,29.62962963,48.09467593
2,81.9875,22.39375,99,19.6,96.2962963,63.85550926
3,15.6125,44.93125,71,57.3,18.51851852,41.4724537
4,92.4,40.06875,86,2.1,70.37037037,58.18782407
5,40.425,88.3,45,24.1,11.11111111,41.78722222
6,38.3625,60.66875,32,81.1,18.51851852,46.1299537
7,36.2375,21.03125,15,52.9,33.33333333,31.70041667
8,69.9625,47.80625,18,67.2,33.33333333,47.26041667
9,80.525,53.51875,26,92.7,92.59259259,69.06726852
10,14.875,36.49375,23,76.3,59.25925926,41.98560185
11,47.1,11.03125,12,52.9,44.44444444,33.49513889
12,39.375,14.83125,64,23.0,22.22222222,32.68569444
13,35.025,88.16875,56,12.4,22.22222222,42.76319444
14,51.075,58.64375,79,73.1,14.81481481,55.32671296
15,81.4,57.2,81,30.0,18.51851852,53.6237037
16,29.4875,63.7875,78,94.7,22.22222222,57.63944444
17,52.6625,59.7625,65,24.7,18.51851852,44.1287037
18,67.1,30.59375,65,69.9,29.62962963,52.44467593
19,60.1875,82.0,100,44.1,62.96296296,69.85009259
20,64.75,19.13125,28,4.1,29.62962963,29.12217593
21,46.975,15.46875,59,36.0,51.85185185,41.85912037
22,60.875,51.30625,68,24.5,88.88888889,58.71402778
23,91.525,69.9,98,97.8,85.18518519,88.48203704
24,48.05,66.325,61,37.4,62.96296296,55.14759259
25,71.4875,32.9875,53,82.6,37.03703704,55.42240741
26,79.825,84.99375,44,50.3,18.51851852,55.5274537
27,37.325,54.9,48,8.5,66.66666667,43.07833333
28,52.875,86.66875,29,7.4,81.48148148,51.4850463
29,51.5125,10.6,95,25.8,55.55555556,47.69361111
30,54.275,27.0875,100,80.0,62.96296296,64.86509259
31,55.7875,60.2375,55,45.1,44.44444444,52.11388889
32,64.3625,7.3625,49,3.3,51.85185185,35.17537037
33,75.1,67.19375,95,32.4,22.22222222,58.38319444
34,29.5625,45.03125,83,92.1,74.07407407,64.75356481
35,46.0125,81.625,80,20.8,40.74074074,53.83564815
36,88.275,81.50625,95,42.8,44.44444444,70.40513889
37,95.7875,70.275,92,84.0,55.55555556,79.52361111
38,96.9625,51.525,68,84.0,44.44444444,68.98638889
39,45.825,23.96875,56,53.8,70.37037037,49.99282407
40,26.2375,26.6875,69,77.0,22.22222222,44.22944444
41,80.9,35.84375,63,79.6,92.59259259,70.38726852
42,96.9875,50.025,53,46.7,18.51851852,53.0462037
43,77.5875,32.45,19,19.6,33.33333333,36.39416667
44,47.3125,78.225,53,53.6,81.48148148,62.7237963
45,79.4,92.05,22,60.2,96.2962963,69.98925926
46,87.925,30.63125,80,26.9,96.2962963,64.35050926
47,81.1625,92.5,90,19.3,81.48148148,72.8887963
48,16.7125,70.66875,48,60.7,96.2962963,58.47550926
