TaskID,Required_RAM,Required_Storage,Minimum_Trust_Factor,Max_Distance,Min_Transmission_Rate,Min_Eligibility
1,72.35,42.15,100,81.0,22.22222222,63.54444444
2,82.25,9.76875,84,16.9,85.18518519,55.62078704
3,29.2,62.25625,81,8.9,51.85185185,46.64162037
4,24.7875,24.73125,21,17.0,25.92592593,22.68893519
5,14.5,19.7375,59,61.9,33.33333333,37.69416667
6,81.725,24.6375,82,27.2,96.2962963,62.37175926
7,27.9,50.15625,33,91.3,81.48148148,56.7675463
8,53.85,83.16875,93,45.5,74.07407407,69.91856481
9,56.9875,9.45,29,48.8,96.2962963,48.10675926
10,68.3,95.3,11,26.9,14.81481481,43.26296296
11,15.975,91.4875,44,31.9,74.07407407,51.48731481
12,29.075,7.0125,44,64.0,48.14814815,38.44712963
13,64.525,26.8,97,31.0,29.62962963,49.79092593
14,16.15,88.075,63,99.8,92.59259259,71.92351852
15,29.45,64.00625,50,73.2,96.2962963,62.59050926
16,75.55,72.94375,69,48.5,62.96296296,65.79134259
17,53.3625,41.96875,54,12.5,22.22222222,36.81069444
18,92.5625,52.21875,76,59.1,51.85185185,66.34662037
19,68.05,62.88125,61,75.2,51.85185185,63.79662037
20,59.5875,32.59375,85,15.8,59.25925926,50.44810185
21,51.1125,18.95,81,78.1,25.92592593,51.01768519
22,60.8375,79.13125,60,23.3,29.62962963,50.57967593
23,62.675,14.725,67,32.3,40.74074074,43.48814815
24,67.7125,88.125,95,10.8,14.81481481,55.29046296
25,49.9875,36.61875,52,99.9,85.18518519,64.73828704
26,69.35,42.65,88,28.5,70.37037037,59.77407407
27,50.825,27.2625,18,16.3,77.77777778,38.03305556
28,49.85,54.04375,94,60.2,59.25925926,63.47060185
29,66.5625,72.83125,80,10.0,29.62962963,51.80467593
30,53.3625,66.89375,23,68.5,62.96296296,54.94384259
31,41.35,15.65,38,52.7,48.14814815,39.16962963
32,22.3375,21.1875,16,58.0,66.66666667,36.83833333
33,66.425,31.9375,68,21.5,22.22222222,42.01694444
34,46.375,76.26875,13,65.7,70.37037037,54.34282407
35,63.875,85.475,19,32.9,44.44444444,49.13888889
36,68.725,67.86875,75,99.1,14.81481481,65.10171296
37,49.8,20.40625,57,91.1,81.48148148,59.9575463
38,94.5375,45.46875,77,33.2,37.03703704,57.44865741
39,15.1625,80.4125,48,51.8,37.03703704,46.48240741
