Vehicle,RAM,storage,Trustfactor,Distance,TransmissionRate,Eligible
1,93.22740090888364,37.68196841778615,79.28430645916772,62.97135999710529,40.705070562516745,62.73939815
2,62.79824816147495,89.75438172864109,38.83251395804351,21.121339954803904,26.17628438487365,47.72268519
3,29.255611982733924,78.19813645882247,22.25717779305581,52.22549658156727,10.79006359411679,38.53472222
4,36.78031494333931,53.89643689304815,9.65893969101919,26.070152103179954,59.38293918246657,37.31060185
5,35.103559801637225,91.55889963216552,18.971809687901313,43.94731760485996,92.43897144609542,56.61601852
6,85.36955629267447,44.46655442456343,42.31795709891241,19.606148942824262,92.48656850526908,56.89476852
7,93.524879777741,69.38962827034422,81.17140592309158,1.408125615797784,18.46967047859177,52.7962037
8,71.80325677753245,93.66146814732134,55.67672370718527,94.15061546064882,55.56788863389303,74.49361111
9,23.052085457416666,37.37539842552196,31.80719020645829,93.36173638886835,77.89975691591087,52.83430556
10,38.6568559858078,20.109043152766738,72.43759517994972,87.84848583951661,33.71402613643211,50.36666667
11,66.6696228964236,55.080426535720534,65.88303709014433,52.09120391971273,18.763450656097348,51.6274537
12,53.20858792086934,72.73371489389098,98.4040460723163,59.755233401769395,44.719894778634696,65.82263889
13,77.7940897494614,62.69218366936464,46.034570533275264,54.519759113663156,92.38920930602809,66.80226852
14,82.49188684286968,34.324492517553956,39.75878447377902,94.48391761929945,44.226126706906356,59.07638889
15,43.04916538203605,42.98005115881159,38.96539391947373,30.88170333468981,51.82302018009004,41.67662037
16,60.86048367203994,29.19036118904027,29.98786603943874,87.39099022406832,62.74062463382342,54.07384259
17,79.92942708973035,80.93199426799616,10.073722441264785,75.0087645452993,10.813249113785268,51.38597222
18,50.72576524694681,44.07110797166931,94.67350081226276,20.260786341355335,51.686480540398954,52.36912037
19,76.13647818852428,38.80437212880836,94.24665091157277,26.643108028208758,33.26642353034815,53.60541667
20,82.67630799528553,58.677815039696334,42.83081226746519,3.7318223900697776,36.798318250538266,45.11240741
21,31.9646622917914,34.422057937352236,68.04249613588459,37.033327331718716,17.96726301464941,38.1537037
22,31.197649762970276,89.74762933125852,81.40143311759829,73.628306894297,29.32723476765539,61.09467593
23,27.48592244470913,50.088124923889886,24.043953711785708,73.7735873901967,14.369043379341413,38.18171296
24,13.449175369776885,53.35680514841303,20.63844436144884,64.12734086010249,37.028704891873296,37.69615741
25,86.49942679052634,29.6283964111846,54.84507728315594,16.33501452792669,37.325310713455586,44.82990741
26,95.06320408194391,46.68862538667722,46.147058127181346,13.370088684107534,78.1097125063568,55.76305556
27,52.19103255505024,25.412282162401926,38.907779835035505,6.3399839350163045,41.00988493133086,32.70064815
28,77.26734676119604,53.09006944417273,32.528892904768,65.32740233707818,41.017652071523514,53.92189815
29,55.57535624183579,34.2279234391728,98.31377994757756,99.82245145703422,36.563205653663104,64.91365741
30,53.94205963930003,68.42178109394682,40.964071504883655,75.0852363759642,100.18393884031076,67.59
31,41.546951437266024,71.14224448739634,18.98113387412605,29.89308058233142,43.69206981769578,41.25013889
32,70.69007360915566,98.6544703099272,64.1025057221498,2.843344533193239,66.70465311480172,60.49833333
33,67.80729034499086,45.59046970887874,79.90551716348702,39.67869212388411,96.13932164948397,65.77800926
34,63.60804093112964,43.96376826409974,93.43031725221081,46.230632378065906,99.85314813079825,69.5225
35,75.38558155719106,71.33840963542958,82.98319162688216,82.74568074536663,66.84417580188422,75.71208333
36,34.77988046576606,19.209794991993128,61.787630797235934,13.190668915943741,52.13618494779264,36.12037037
37,48.260312149310366,40.930827071843794,53.114953884260004,97.8518376953738,44.115789621230945,56.89638889
38,96.50594481627691,51.79060995566488,26.202410506013862,39.31163635996502,40.52112966934813,50.99439815
39,89.00830431004798,86.74358072595099,14.056949554367684,7.415165908056708,92.4860229443718,57.96101852
40,36.200150359381134,88.18522212020495,59.34456743190318,5.81762950693268,48.526284592628365,47.41712963
41,33.766877091991134,96.12853627052651,94.19854089037477,54.07717483998637,92.69446170130064,74.08101852
42,89.40294414285604,14.929718045051429,45.364684275180515,39.06638588172081,44.445377937754365,46.82013889
43,23.656882957879038,9.815996091881397,18.71855290165074,12.098457516520975,52.211762714836084,23.35412037
44,31.293986770588603,25.46381564619628,12.021894633721821,99.7705892922559,78.10653930247453,49.14180556
